TeamID,TeamName,WINS,LOSSES,WinPCT,HOME,ROAD,L10,CurrentStreak
1610612760,Thunder,22,5,0.815,10-2 ,11-3 ,9-1  ,7
1610612763,Grizzlies,20,9,0.69,13-3 ,7-6  ,8-2  ,2
1610612745,Rockets,18,9,0.667,11-3 ,7-5  ,6-4  ,1
1610612742,Mavericks,18,10,0.643,9-4  ,9-6  ,8-2  ,1
1610612747,Lakers,16,12,0.571,9-3  ,7-9  ,5-5  ,3
1610612746,Clippers,16,13,0.552,10-6 ,6-7  ,5-5  ,-1
1610612744,Warriors,15,12,0.556,7-5  ,8-7  ,3-7  ,1
1610612759,Spurs,15,13,0.536,11-7 ,4-6  ,5-5  ,2
1610612743,Nuggets,14,11,0.56,7-4  ,7-7  ,5-5  ,-1
1610612750,Timberwolves,14,13,0.519,8-6  ,6-7  ,6-4  ,-2
1610612756,Suns,14,13,0.519,9-6  ,5-7  ,4-6  ,-2
1610612758,Kings,13,16,0.448,6-10 ,7-6  ,4-6  ,-3
1610612757,Trail Blazers,9,19,0.321,6-7  ,3-12 ,2-8  ,-1
1610612762,Jazz,7,20,0.259,2-10 ,5-10 ,3-7  ,2
1610612740,Pelicans,5,24,0.172,4-10 ,1-14 ,1-9  ,-6
