TeamID,TeamName,WINS,LOSSES,WinPCT,HOME,ROAD,L10,CurrentStreak
1610612739,Cavaliers,26,4,0.867,17-1 ,9-3  ,9-1  ,5
1610612738,Celtics,22,7,0.759,11-4 ,11-3 ,6-4  ,-1
1610612752,Knicks,19,10,0.655,9-4  ,10-6 ,8-2  ,4
1610612753,Magic,19,12,0.613,12-2 ,7-10 ,5-5  ,2
1610612749,Bucks,16,12,0.571,10-4 ,5-8  ,7-3  ,2
1610612737,Hawks,15,15,0.5,8-7  ,7-7  ,6-4  ,1
1610612754,Pacers,15,15,0.5,8-4  ,7-11 ,6-4  ,5
1610612748,Heat,14,13,0.519,9-5  ,4-8  ,5-5  ,1
1610612741,Bulls,13,17,0.433,4-11 ,9-6  ,5-5  ,-2
1610612765,Pistons,13,17,0.433,5-8  ,8-9  ,5-5  ,2
1610612751,Nets,11,18,0.379,5-8  ,6-10 ,2-8  ,-2
1610612755,76ers,10,17,0.37,5-9  ,5-8  ,7-3  ,1
1610612766,Hornets,7,22,0.241,5-11 ,2-11 ,1-9  ,-5
1610612761,Raptors,7,23,0.233,6-10 ,1-13 ,2-8  ,-8
1610612764,Wizards,4,23,0.148,3-10 ,1-12 ,2-8  ,-2
